Timestamp, COUNTER, INTERPOLATED, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, RAW_CQ, MARKER_HARDWARE, MARKERS
1649066938.3644, 115, 0, 4134.103, 4132.692, 4134.615, 4133.59, 4135.769, 4132.051, 4130.897, 4134.359, 4137.949, 4138.718, 4184.872, 4901.795, 4136.026, 4137.564, 0, 0, []
1649066938.3722, 116, 0, 4131.538, 4131.795, 4132.051, 4134.359, 4135.256, 4130.769, 4125.641, 4135.128, 4138.718, 4137.308, 4185.128, 4899.872, 4135, 4138.077, 0, 0, []
1649066938.3801, 117, 0, 4131.026, 4131.795, 4130.897, 4133.974, 4135.513, 4131.667, 4126.923, 4135.769, 4137.308, 4134.615, 4184.744, 4901.795, 4134.103, 4139.231, 0, 0, []
1649066938.388, 118, 0, 4134.103, 4129.487, 4133.077, 4135.897, 4133.718, 4132.051, 4133.846, 4133.718, 4137.051, 4142.308, 4184.872, 4902.949, 4135.256, 4141.41, 0, 0, []
1649066938.396, 119, 0, 4133.974, 4125.385, 4133.846, 4136.538, 4134.487, 4131.41, 4136.282, 4133.333, 4137.821, 4149.359, 4186.026, 4903.077, 4133.205, 4140.513, 0, 0, []
1649066938.4039, 120, 0, 4132.821, 4130.769, 4131.026, 4134.744, 4136.795, 4130.513, 4131.41, 4135.513, 4137.692, 4142.949, 4186.923, 4902.436, 4133.333, 4139.744, 0, 0, []
1649066938.4118, 121, 0, 4132.692, 4133.974, 4132.436, 4136.667, 4133.59, 4129.744, 4127.051, 4135.513, 4136.795, 4137.436, 4187.308, 4903.462, 4135.256, 4138.462, 0, 0, []
1649066938.4196, 122, 0, 4133.718, 4131.667, 4132.692, 4136.667, 4131.41, 4132.436, 4128.077, 4135.385, 4137.308, 4139.872, 4187.564, 4904.359, 4138.205, 4138.974, 0, 0, []
1649066938.4274, 123, 0, 4131.795, 4131.667, 4131.538, 4134.487, 4132.564, 4131.282, 4128.077, 4137.564, 4137.821, 4138.846, 4187.051, 4902.436, 4136.923, 4138.59, 0, 0, []
1649066938.4353, 124, 0, 4130.513, 4132.949, 4131.923, 4136.667, 4131.41, 4129.744, 4129.744, 4137.564, 4137.692, 4136.154, 4186.154, 4903.205, 4134.103, 4135.897, 0, 0, []
1649066938.4431, 125, 0, 4132.949, 4132.692, 4131.026, 4137.179, 4132.692, 4132.308, 4130.385, 4135.128, 4137.179, 4137.949, 4186.154, 4902.179, 4136.667, 4137.692, 0, 0, []
1649066938.4511, 126, 0, 4131.154, 4127.436, 4132.692, 4135.385, 4135, 4130.897, 4128.205, 4135.385, 4136.795, 4137.564, 4186.41, 4897.949, 4134.615, 4137.051, 0, 0, []
1649066938.4589, 127, 0, 4130.256, 4129.359, 4131.923, 4136.026, 4134.103, 4128.59, 4130, 4136.795, 4137.436, 4136.923, 4186.154, 4898.846, 4134.615, 4138.59, 57, 0, []
1649066938.4669, 0, 0, 4131.154, 4134.103, 4131.538, 4137.308, 4132.051, 4130.769, 4130, 4137.179, 4136.282, 4138.718, 4186.154, 4903.205, 4139.103, 4140.128, 0, 0, []
1649066938.4748, 1, 0, 4130.641, 4132.949, 4135.256, 4136.538, 4133.718, 4133.462, 4128.333, 4137.564, 4134.487, 4139.615, 4186.026, 4903.59, 4134.487, 4135.897, 0, 0, []
1649066938.4828, 2, 0, 4133.077, 4136.795, 4131.795, 4135.385, 4135.385, 4132.821, 4129.103, 4136.282, 4137.179, 4138.846, 4186.154, 4900.513, 4132.308, 4138.718, 0, 0, []
1649066938.4907, 3, 0, 4132.436, 4135.128, 4132.949, 4135.256, 4133.077, 4128.718, 4129.359, 4134.744, 4139.615, 4136.667, 4186.282, 4901.41, 4133.846, 4141.282, 0, 0, []
1649066938.4987, 4, 0, 4131.538, 4130.513, 4138.974, 4136.923, 4130.641, 4130.769, 4128.077, 4135.641, 4137.564, 4137.179, 4186.154, 4901.538, 4133.333, 4140.897, 0, 0, []
1649066938.5065, 5, 0, 4132.821, 4133.205, 4134.359, 4137.051, 4132.564, 4133.462, 4128.077, 4136.923, 4136.026, 4137.051, 4186.282, 4898.333, 4134.103, 4141.538, 0, 0, []
1649066938.5145, 6, 0, 4132.051, 4135.897, 4132.692, 4134.103, 4137.564, 4130.385, 4129.359, 4135.769, 4137.692, 4136.026, 4186.282, 4899.744, 4133.077, 4138.974, 0, 0, []
1649066938.5224, 7, 0, 4131.667, 4132.949, 4135.513, 4132.821, 4135.769, 4130.128, 4127.436, 4134.487, 4137.436, 4135.897, 4185.897, 4901.154, 4135.385, 4139.872, 0, 0, []
1649066938.5304, 8, 0, 4129.487, 4127.564, 4132.564, 4136.282, 4131.154, 4131.026, 4127.821, 4135.128, 4135, 4136.41, 4186.538, 4899.615, 4133.846, 4140.385, 0, 0, []
1649066938.5383, 9, 0, 4129.615, 4130.385, 4129.231, 4137.436, 4133.077, 4131.667, 4128.718, 4136.538, 4135.513, 4136.282, 4187.564, 4899.615, 4132.308, 4139.615, 0, 0, []
1649066938.5462, 10, 0, 4132.821, 4134.103, 4132.949, 4134.615, 4135, 4131.41, 4130.641, 4136.154, 4136.795, 4136.154, 4186.538, 4902.179, 4135.897, 4139.615, 0, 0, []
1649066938.5541, 11, 0, 4134.359, 4132.308, 4138.077, 4135.513, 4135.641, 4130.128, 4135.897, 4135.385, 4136.026, 4136.667, 4184.872, 4902.564, 4133.205, 4138.205, 0, 0, []
1649066938.5619, 12, 0, 4135.128, 4134.487, 4132.179, 4137.179, 4134.744, 4131.282, 4132.308, 4135.385, 4136.282, 4138.846, 4184.744, 4901.667, 4133.077, 4140.641, 0, 0, []
1649066938.5698, 13, 0, 4131.538, 4133.333, 4130.385, 4133.462, 4134.231, 4130.128, 4130.256, 4135.513, 4135.513, 4140.385, 4185.385, 4902.949, 4135, 4141.795, 0, 0, []
1649066938.5776, 14, 0, 4129.231, 4130.256, 4136.667, 4131.41, 4136.154, 4130.641, 4135.769, 4135.897, 4134.487, 4138.846, 4184.872, 4902.308, 4136.026, 4141.667, 0, 0, []
1649066938.5854, 15, 0, 4132.949, 4130, 4137.051, 4134.615, 4136.026, 4131.795, 4132.179, 4137.308, 4135.769, 4136.923, 4184.744, 4901.154, 4138.205, 4141.795, 0, 0, []
1649066938.5932, 16, 0, 4134.744, 4129.359, 4132.692, 4137.051, 4133.333, 4130.385, 4127.821, 4137.179, 4136.795, 4137.949, 4185.897, 4902.051, 4133.59, 4137.051, 0, 0, []
1649066938.6011, 17, 0, 4132.051, 4131.923, 4129.359, 4134.872, 4132.564, 4131.026, 4131.41, 4135.769, 4137.308, 4139.615, 4187.308, 4901.41, 4131.795, 4137.949, 0, 0, []
1649066938.6089, 18, 0, 4129.359, 4132.692, 4132.308, 4134.872, 4135.769, 4130, 4132.051, 4135.385, 4137.179, 4139.359, 4187.436, 4901.667, 4134.872, 4137.821, 0, 0, []
1649066938.6168, 19, 0, 4130.897, 4133.205, 4134.231, 4137.308, 4135.897, 4130.769, 4129.487, 4135.128, 4136.154, 4138.462, 4186.923, 4901.923, 4136.795, 4134.359, 0, 0, []
1649066938.6245, 20, 0, 4133.59, 4133.974, 4132.564, 4136.41, 4133.974, 4132.821, 4128.846, 4135.128, 4136.026, 4139.872, 4186.41, 4899.872, 4136.154, 4139.872, 0, 0, []
1649066938.6324, 21, 0, 4132.949, 4129.487, 4134.359, 4135.513, 4135.128, 4131.667, 4127.564, 4135.128, 4136.795, 4139.487, 4186.154, 4901.538, 4134.359, 4141.538, 0, 0, []
